Offline Static,Offline Dynamic,OGD 0.01,OGD 0.05,OGD 0.1,OGD 0.2,OGD 0.3,OGD 0.5,OGD 1,OGD 2,OGD 5,OGD 10,MAF_RHC 3,MAF_RHC 5,MAF_RHC 7,MAF_RHC 10,MAF_RHC 12,MAF_RHC 15,SES_RHC 3,SES_RHC 5,SES_RHC 7,SES_RHC 10,SES_RHC 12,SES_RHC 15,MAF_CHC_W_5_V_2,MAF_CHC_W_5_V_4,MAF_CHC_W_10_V_3,MAF_CHC_W_10_V_6,MAF_CHC_W_10_V_9,MAF_CHC_W_15_V_4,MAF_CHC_W_15_V_8,MAF_CHC_W_15_V_12,SES_CHC_W_5_V_2,SES_CHC_W_5_V_4,SES_CHC_W_10_V_3,SES_CHC_W_10_V_6,SES_CHC_W_10_V_9,SES_CHC_W_15_V_4,SES_CHC_W_15_V_8,SES_CHC_W_15_V_12
228.4265838,197.3605526,542.0219843,357.4122291,299.0609991,261.6226512,259.0096478,263.8834161,285.9222098,337.5782253,504.4785692,783.027752,301.4067406,299.6274861,298.4334205,297.5436393,297.2145992,296.2749558,429.6041215,421.2513806,414.9062322,409.7473109,408.4015478,400.9559783,299.7370588,299.9889126,297.6636648,297.8603257,298.1691256,296.416198,296.5090542,296.6697622,420.6155871,419.9624087,408.8485273,408.2044251,407.6919404,399.6995253,398.6578454,397.700502
266.4342587,225.7705954,590.1765051,403.1695126,349.5020601,320.2798708,311.2812441,305.9685358,324.6026466,380.1426523,537.6794679,820.0910012,343.3239147,341.0150332,338.986125,337.3056392,336.7940868,335.3180316,660.5659165,658.720975,657.6328699,657.1116337,657.2791918,656.1065753,341.2729932,341.9561035,337.5013388,338.1851901,339.063868,335.7132004,336.2893565,337.0400482,658.7283058,658.7037174,656.9391133,656.9470048,656.9928278,656.115939,656.1902308,656.2668347
231.9737111,197.8038444,555.1117373,376.4931929,311.5967925,269.3617712,263.3434427,267.8136537,290.3602577,337.5213983,497.284001,778.1258486,307.6498346,305.5044324,303.6976947,301.7916675,301.079827,299.5138682,393.8239408,389.4671652,385.96232,385.2252534,385.5600616,383.3088158,305.7286435,306.0705944,302.0694075,302.5865038,303.0955476,299.6384193,300.0674132,300.4646111,389.1351736,388.1614723,384.1205284,383.1661925,382.4936685,382.5312503,381.3676234,380.3846402
204.9027408,165.432318,352.5808882,237.9738948,229.0724054,227.0139737,230.4088428,238.0543452,263.2107266,315.0861234,477.4328343,755.9842592,223.1123199,221.8872847,221.255459,220.8906478,220.835916,220.5221705,361.0282469,358.1159215,355.9615685,354.7901205,354.9204629,352.3189929,221.8637477,222.0405478,220.6510301,220.6043694,220.8396143,220.4460962,220.3263936,220.4562587,358.0116605,357.8755416,354.1947049,353.9138158,353.6611579,352.034245,351.6857408,351.3835892
241.6821202,208.300162,458.9861471,316.7933803,294.8221525,276.6763101,273.2360338,276.8109852,300.5730127,350.7501784,512.2426524,789.8734366,271.3946351,270.2638638,269.3700519,268.4788602,268.3738127,267.779088,550.0266835,548.7013068,547.4823897,546.7473477,546.7073837,545.4053863,270.2103324,270.1992385,268.24312,268.121666,268.2373771,267.3171803,266.9363015,266.9588247,548.6685126,548.6150219,546.5979928,546.5100157,546.4465799,545.315914,545.228519,545.1536971
302.0970998,244.0915304,533.2579152,423.4665611,395.1397285,364.650062,355.834679,348.1666254,360.9479912,410.0984649,573.5218133,853.7637836,386.3396772,384.3948957,383.1102837,382.5470748,382.3994518,382.0277595,434.8152302,428.1203421,426.4580978,428.037277,425.9316419,424.2032095,384.4031438,384.7194171,382.2061832,382.1547471,382.3478964,381.8017986,381.4246234,381.2931744,427.4077997,426.1165049,423.7672107,421.3437268,419.7489001,423.0457171,421.1865982,419.5372701
277.8343244,245.4764423,806.0617196,523.9888862,404.3339115,337.9133733,324.5907798,323.2012601,339.9615268,388.4140627,551.6880915,833.0987656,401.6260369,399.1973997,397.0884037,394.9833497,393.9142105,391.2252561,394.1716812,389.4389432,385.9305888,388.7907754,384.1074501,378.4932968,399.4041415,399.8116935,395.3319752,395.9161858,396.5066584,392.0208932,392.9293168,393.6363614,387.4107082,383.4025833,381.5617849,374.9527107,370.0604353,373.7718205,368.5495869,364.2587126
275.5099795,249.0962592,673.7325463,462.025702,371.2842915,324.1195515,311.476419,311.7711458,332.9470897,385.0305236,540.4422486,818.5780096,376.3346621,374.0540156,372.4029485,371.289277,370.603635,368.8307378,476.6344201,459.1661642,453.4516043,462.0245255,435.9231245,437.4808289,374.1325078,374.4411573,371.1384384,371.3879991,371.8147371,369.1133616,369.4202732,369.8710681,451.8616861,439.416913,434.7309522,418.4715642,408.5490621,423.0646532,411.8258327,400.4242547
195.4427211,183.0141999,483.5935986,293.4885044,240.9130324,221.5215685,221.7667041,227.2055349,253.3851715,305.9450299,468.7700611,750.2880867,255.3429631,254.182146,253.3018324,252.8703833,252.706887,251.9760953,514.4980706,512.4771004,511.1438215,510.2994694,510.1363099,508.60479,254.0954654,254.012288,252.7624267,252.7376396,252.7103411,251.9323708,251.8553161,251.7925477,512.4811319,512.4837832,510.0591373,509.9691415,509.8825309,508.366301,508.1754717,508.0562833
197.1489172,169.4262821,454.5811439,321.0349244,256.4202913,228.9675148,222.1039395,228.349688,252.0296773,306.879941,476.5006248,761.0956305,260.1440468,257.6229782,255.92387,254.3002297,253.339236,251.5604748,447.1594195,444.8184499,443.1056109,442.5370051,442.3456953,440.5941655,258.0248711,258.8782164,254.8047501,255.6661065,256.6841928,252.3189223,253.4411878,254.4684943,444.7211914,444.679703,441.9436787,441.8127538,441.8072755,440.5785975,440.5793903,440.6304502